#,id,created,deleted,last_updated,uuid_str,name_en,name_bn,created_by_id,updated_by_id,weight
1,1,2020-01-28 22:54:29,false,2020-01-28 22:54:29,72808172-2699-43bd-bcdf-68a79fafe6bd,Bangladesh,বাংলাদেশ,,,0
2,2,2020-01-28 22:54:29,false,2020-01-28 22:54:29,2ae02ac8-769e-4e32-95f2-5e156314392e,India,ভারত,,,0
