#,id,created,deleted,last_updated,uuid_str,bbs_code,name_bn,name_en,created_by_id,updated_by_id,upazila_id,weight
298,298,2020-06-03 17:44:39,false,2020-06-03 17:44:39,0099719b-a7ef-480b-82b7-6087087e00d4,20,বোদা পৌরসভা,Boda pourasabha,,,433,0
299,299,2020-06-03 17:44:41,false,2020-06-03 17:44:41,dee818d7-bef1-4ccf-a7d2-b7c1c1eb4e22,50,পঞ্চগড় পৌরসভা,Panchagarh pourasabha,,,435,0
300,300,2020-06-03 17:44:43,false,2020-06-03 17:44:43,64625fce-705e-4bda-9bf3-337ae897f18b,13,বদরগঞ্জ পৌরসভা,Badarganj pourasabha,,,437,0
301,301,2020-06-03 17:44:44,false,2020-06-03 17:44:44,2a16d68c-2b36-43d8-b6c4-79d3aa5b833c,25,হারাগাছ (কাউনিয়া) পৌরসভা,Haragachh (kaunia) pourasabha,,,438,0
302,302,2020-06-03 17:44:47,false,2020-06-03 17:44:47,c28fcfe8-4367-4ae8-a92f-c3e6648ace3d,66,হারাগাছ (কাউনিয়া) পৌরসভা,Haragachh (kaunia) pourasabha,,,442,0
303,303,2020-06-03 17:44:52,false,2020-06-03 17:44:52,d89099f2-a464-40e4-8ca4-a1adda30c3ed,33,পীরগঞ্জ পৌরসভা,Pirganj pourasabha,,,447,0
304,304,2020-06-03 17:44:53,false,2020-06-03 17:44:53,ce761dd7-2be6-4bda-a8e1-7ad8f9dd49f7,55,রানীশংকৈল পৌরসভা,Ranishankail pourasabha,,,669,0
305,305,2020-06-03 17:44:55,false,2020-06-03 17:44:55,1a471bfb-c997-449a-babf-23c708a3b0b0,66,ঠাকুরগাঁও পৌরসভা,Thakurgaon pourasabha,,,449,0
306,306,2020-06-03 17:44:57,false,2020-06-03 17:44:57,be16ec51-2e43-43d4-afda-80398463c669,12,আজমিরীগঞ্জ পৌরসভা,Ajmiriganj pourasabha,,,450,0
307,307,2020-06-03 17:44:59,false,2020-06-03 17:44:59,e6d32b98-3e5c-4d21-94c6-8a01484ff73f,16,চুনারুঘাট পৌরসভা,Chunarughat pourasabha,,,453,0
308,308,2020-06-03 17:45:00,false,2020-06-03 17:45:00,1d3c183b-027e-48d7-8021-146ffab940b8,20,হবিগঞ্জ পৌরসভা,Habiganj pourasabha,,,454,0
309,309,2020-06-03 17:45:02,false,2020-06-03 17:45:02,4d83a398-2ac9-4be7-86ea-b6f7c72f1cd3,40,মাধবপুর পৌরসভা,Madhabpur pourasabha,,,456,0
310,310,2020-06-03 17:45:03,false,2020-06-03 17:45:03,7070fbb9-a7b1-43fa-9222-348c9d8a6904,60,নবীগঞ্জ পৌরসভা,Nabiganj pourasabha,,,457,0
311,311,2020-06-03 17:45:04,false,2020-06-03 17:45:04,8bb12a37-d6fc-442d-883a-4d7df76201c2,80,নবীগঞ্জ পৌরসভা,Nabiganj pourasabha,,,489,0
312,312,2020-06-03 17:45:05,false,2020-06-03 17:45:05,fcb56695-39f3-44a1-b3b9-a06bea9a56e0,13,বড়লেখা পৌরসভা,Baralekha pourasabha,,,458,0
313,313,2020-06-03 17:45:07,false,2020-06-03 17:45:07,32d42984-da6d-4b4a-ad6b-e7f92e35cd4a,15,কমলগঞ্জ পৌরসভা,Kamalganj pourasabha,,,460,0
314,314,2020-06-03 17:45:09,false,2020-06-03 17:45:09,f0fa28e7-1ba2-4c42-b6d7-6b7f2c3a7794,25,কুলাউড়া পৌরসভা,Kulaura pourasabha,,,461,0
315,315,2020-06-03 17:45:10,false,2020-06-03 17:45:10,51e08ede-d51b-4c43-908c-ae0001dbc86d,50,মৌলভীবাজার পৌরসভা,Moulvibazar pourasabha,,,462,0
316,316,2020-06-03 17:45:12,false,2020-06-03 17:45:12,2fac9fd8-ddb8-4128-b1f7-fd963f577ac8,75,শ্রীমঙ্গল পৌরসভা,Sreemangal pourasabha,,,464,0
317,317,2020-06-03 17:45:14,false,2020-06-03 17:45:14,c1f28e66-421f-473c-9cfc-0f9c227528d0,20,ছাতক পৌরসভা,Chhatak pourasabha,,,466,0
318,318,2020-06-03 17:45:15,false,2020-06-03 17:45:15,bb902a2d-f55b-4c8e-a95e-40ab5612362a,40,দিরাই পৌরসভা,Derai pourasabha,,,467,0
319,319,2020-06-03 17:45:17,false,2020-06-03 17:45:17,1a13e5e6-6c68-4160-ae14-6249044745a5,50,জগন্নাথপুর পৌরসভা,Jagannathpur pourasabha,,,470,0
320,320,2020-06-03 17:45:19,false,2020-06-03 17:45:19,da67219c-1107-4129-a91a-74a15b5cdbc7,60,সুনামগঞ্জ পৌরসভা,Sunamganj pourasabha,,,473,0
321,321,2020-06-03 17:45:21,false,2020-06-03 17:45:21,99711e40-110e-42b5-bb79-fb541ca87298,16,বিয়ানীবাজার পৌরসভা,Beanibazar pourasabha,,,477,0
322,322,2020-06-03 17:45:24,false,2020-06-03 17:45:24,2931522a-bfff-46f5-87b0-e7500cd5354f,25,গোলাপগঞ্জ পৌরসভা,Golapganj pourasabha,,,482,0
323,323,2020-06-03 17:45:26,false,2020-06-03 17:45:26,ddf44de6-8848-4e25-9da3-f982ad145182,37,কানাইঘাট পৌরসভা,Kanaighat pourasabha,,,485,0
324,324,2020-06-03 17:45:28,false,2020-06-03 17:45:28,c7b2b1ab-f6b6-4d36-b735-743f644607e4,75,জকিগঞ্জ পৌরসভা,Zakiganj pourasabha,,,487,0
