#,id,created,deleted,last_updated,uuid_str,name_bn,name_en,created_by_id,updated_by_id,division_id,bbs_code,division_bbs_code,weight
48,48,2020-01-28 22:54:29,false,2020-01-28 22:54:29,b40ee1be-01e6-4330-b6de-6ec44713b20e,নাটোর,Natore,,,5,69,50,0
49,49,2020-01-28 22:54:29,false,2020-06-03 17:43:08,4e1f89b2-f2b8-40ba-90de-a3fd1116be37,চাঁপাইনবাবগঞ্জ,Chapainababganj,,,5,70,50,0
50,50,2020-01-28 22:54:29,false,2020-01-28 22:54:29,b32de641-a127-483f-a7b4-8f23589e9ae4,পাবনা,Pabna,,,5,76,50,0
51,51,2020-01-28 22:54:29,false,2020-01-28 22:54:29,8e20fcdd-9499-4cbe-9205-11ab920b474d,রাজশাহী,Rajshahi,,,5,81,50,0
52,52,2020-01-28 22:54:29,false,2020-01-28 22:54:29,10b03e47-206c-47ac-bd45-3f0a62bc8b56,সিরাজগঞ্জ,Sirajganj,,,5,88,50,0
53,53,2020-01-28 22:54:29,false,2020-06-03 17:44:01,58ac2400-1144-44dd-abad-6deb36188451,দিনাজপুর,Dinajpur,,,6,27,55,0
54,54,2020-01-28 22:54:29,false,2020-06-03 17:44:15,cf67ab00-d800-4c12-b045-e105206ae436,গাইবান্ধা,Gaibandha,,,6,32,55,0
55,55,2020-01-28 22:54:29,false,2020-06-03 17:44:22,af75b23d-4224-44ad-85c4-6d31485aeb32,কুড়িগ্রাম,Kurigram,,,6,49,55,0
56,56,2020-01-28 22:54:29,false,2020-06-03 17:44:28,3740a511-5fd7-42f4-8468-41d649853fcc,লালমনিরহাট,Lalmonirhat,,,6,52,55,0
57,57,2020-01-28 22:54:29,false,2020-06-03 17:44:32,9d9ea237-1995-49ee-af4c-498ac64a1b40,নীলফামারী,Nilphamari,,,6,73,55,0
58,58,2020-01-28 22:54:29,false,2020-06-03 17:44:38,8108ab55-00bd-4992-a447-d214fa52a02e,পঞ্চগড়,Panchagarh,,,6,77,55,0
59,59,2020-01-28 22:54:29,false,2020-06-03 17:44:42,5ee6569d-277d-41ee-87ad-6987fdddbe8c,রংপুর,Rangpur,,,6,85,55,0
60,60,2020-01-28 22:54:29,false,2020-06-03 17:44:51,4f83c9fa-90b8-4715-814e-88bc7308961d,ঠাকুরগাঁও,Thakurgaon,,,6,94,55,0
61,61,2020-01-28 22:54:29,false,2020-06-03 17:44:56,eb5a2359-fe50-4b06-b7ee-72493d454c61,হবিগঞ্জ,Habiganj,,,7,36,60,0
62,62,2020-01-28 22:54:29,false,2020-06-03 17:45:05,4ca46d6b-ba2f-4be2-9804-004e9a278829,মৌলভীবাজার,Moulvibazar,,,7,58,60,0
63,63,2020-01-28 22:54:29,false,2020-06-03 17:45:12,309af153-a0c2-474d-b15d-a3055633d017,সুনামগঞ্জ,Sunamganj,,,7,90,60,0
64,64,2020-01-28 22:54:29,false,2020-06-03 17:45:20,6e17923a-b873-45e6-9bd4-ed1cab5a519e,সিলেট,Sylhet,,,7,91,60,0
